classification,month,total_posts,bucket_communication_and_creative_pct_posts,bucket_communication_and_creative_n_posts,bucket_communication_and_creative_total_mentions,bucket_communication_and_creative_avg_mentions_per_post,bucket_data_and_analytics_pct_posts,bucket_data_and_analytics_n_posts,bucket_data_and_analytics_total_mentions,bucket_data_and_analytics_avg_mentions_per_post,bucket_development_and_infrastructure_pct_posts,bucket_development_and_infrastructure_n_posts,bucket_development_and_infrastructure_total_mentions,bucket_development_and_infrastructure_avg_mentions_per_post,bucket_domain_specific_and_industry_pct_posts,bucket_domain_specific_and_industry_n_posts,bucket_domain_specific_and_industry_total_mentions,bucket_domain_specific_and_industry_avg_mentions_per_post,bucket_enterprise_and_operations_pct_posts,bucket_enterprise_and_operations_n_posts,bucket_enterprise_and_operations_total_mentions,bucket_enterprise_and_operations_avg_mentions_per_post,bucket_security_and_compliance_pct_posts,bucket_security_and_compliance_n_posts,bucket_security_and_compliance_total_mentions,bucket_security_and_compliance_avg_mentions_per_post
Both,2022-02,51018,86.15978674193421,43957,110466,2.165235799129719,36.781136069622484,18765,27327,0.5356344819475479,36.690971813869616,18719,33048,0.647771374808891,77.6314242032224,39606,94699,1.8561880120741698,75.849700105845,38697,91874,1.8008153984868085,17.082206280136422,8715,9929,0.19461758595005685
Both,2022-03,56525,86.66430782839451,48987,123292,2.1811941618752764,38.158337019018134,21569,31219,0.5523042901371075,37.6452896948253,21279,38309,0.6777355152587351,78.41839893852277,44326,107261,1.8975851393188854,76.51658558160106,43251,103914,1.8383724015922158,17.417072091994694,9845,11084,0.1960902255639098
Both,2022-04,48482,84.6767872612516,41053,102717,2.1186625964275403,35.058372179365534,16997,26067,0.5376634627284353,38.092487933666106,18468,32295,0.6661235097561982,78.35279072645518,37987,85197,1.7572913658677447,75.02784538591642,36375,87233,1.799286333072068,17.818984365331463,8639,9782,0.2017656037292191
Both,2022-05,58765,83.76244363141326,49223,120959,2.0583510593040075,35.91763804985961,21107,31967,0.5439802603590572,36.39581383476559,21388,38382,0.653143878158768,78.83434016846762,46327,105820,1.800731728069429,72.3491874415043,42516,102939,1.7517059474176806,17.270484131711054,10149,11576,0.19698800306304773
Both,2022-06,61851,82.45137507881844,50997,125527,2.029506394399444,38.98239317068439,24111,35464,0.5733779567023977,36.18049829428789,22378,38063,0.6153982959046741,78.55329744062344,48586,115317,1.86443226463598,69.61245574040841,43056,104395,1.6878465990848976,17.85096441447996,11041,12445,0.20120935797319364
Both,2022-07,58185,81.41445389705251,47371,115975,1.9932113087565524,37.09203402938902,21582,31507,0.5414969493855805,36.74486551516714,21380,35398,0.6083698547735671,82.72578843344505,48134,113679,1.9537509667440063,71.92919137234682,41852,100275,1.7233823150296468,17.34467646300593,10092,11515,0.19790323966658074
Both,2022-08,67946,82.92026020663468,56341,136533,2.009433962264151,36.93079798663645,25093,35806,0.5269773055073146,33.466282047508315,22739,38859,0.5719100462131693,78.64480616960527,53436,124438,1.831424955111412,69.25794012892591,47058,111910,1.647043240220175,16.95169693580196,11518,13199,0.19425720425043416
Both,2022-09,67459,82.20400539587008,55454,137041,2.0314709675506606,36.1745652915104,24403,34638,0.5134674394817593,34.747031530262824,23440,39690,0.588357372626336,78.56179308913562,52997,130957,1.9412828532886641,71.16618983382499,48008,111910,1.6589335744674543,15.510161727864332,10463,11900,0.1764034450555152
Both,2022-10,61007,84.496861015949,51549,125623,2.05915714590129,34.33868244627666,20949,29068,0.476469913288639,31.99304997787139,19518,32236,0.5283983805137116,78.81062828855706,48080,115410,1.8917501270346027,70.11326569082236,42774,98274,1.6108643270444376,15.268739652826724,9315,10458,0.17142295146458603
Both,2022-11,53444,83.66701594192051,44715,110340,2.064590973729511,34.04498166304917,18195,26187,0.4899895217423845,36.55227902103136,19535,32212,0.6027243469800164,79.52810418381857,42503,108243,2.0253536411945214,73.26921637601976,39158,92012,1.7216525709153507,16.022378564478707,8563,9767,0.18275203951800015
